ra,dec
0.92966,15.21798
7.02725,25.99697
8.60329,24.60386
22.84185,23.9542
25.97973,13.80638
28.46111,14.7645
33.01352,14.1042
39.87512,29.25888
130.2442,16.18337
130.71962,25.07035
132.75347,24.32148
137.04247,5.92821
147.74625,4.27332
156.16719,14.75614
157.93028,25.30761
159.05329,13.44954
159.47066,13.71979
161.84334,14.0713
163.24438,7.6198
165.88495,11.11854
166.03728,8.36871
168.21693,10.20064
169.02658,23.91039
172.30116,11.86523
174.42631,24.13259
175.26533,10.22511
175.57929,14.99622
176.1904,9.213
177.6058,25.98911
179.77587,24.47174
180.33941,14.44974
180.96055,14.5501
182.36947,26.22606
182.47738,13.04998
182.50727,14.36687
183.06277,12.48809
183.35954,14.77201
183.45359,24.2634
183.53684,7.77624
183.72999,13.46139
184.26764,10.00556
185.48948,8.67501
186.71039,11.55902
188.6899,15.22078
188.68722,6.29988
189.15698,6.62089
189.43844,7.10509
190.40549,26.07281
191.04049,12.11418
193.62206,26.30428
194.01943,3.81293
194.18208,11.93137
194.66747,14.21687
197.68295,11.70786
198.02731,5.4757
201.75493,10.05592
203.80666,27.63015
207.75331,24.09118
209.91237,26.2268
210.68659,23.84057
211.22348,12.72157
211.27508,9.33917
212.57791,5.57593
218.66317,4.26405
218.84493,5.27656
221.3397,7.8609
224.19988,9.5091
230.4181,8.41552
234.59136,12.96058
236.40553,4.18244
236.43319,12.51058
237.60073,25.92255
240.77101,5.10786
247.52539,27.69932
342.62611,29.13876
344.92302,24.07493
358.9245,31.89969
1.51183,27.3483
9.43343,24.20764
5.91374,15.0674
2.20327,14.03363
0.56156,14.48775
3.11999,15.55599
5.20274,15.05361
9.76658,14.60022
9.85291,14.45633
9.59912,25.43632
1.27111,23.97063
3.20106,14.52532
1.76933,27.02377
3.30308,25.60231
4.05093,24.84974
11.60035,25.0712
12.30974,25.29376
5.52823,25.48613
0.08839,31.02246
0.13108,30.86925
0.16494,31.93796
1.16463,29.60017
0.73148,28.27876
18.69007,27.13614
21.31909,14.14856
22.56422,14.67756
22.94267,14.15544
24.50128,14.98281
20.06716,14.87476
29.0814,14.92474
19.5228,27.18788
18.25899,27.63651
25.86352,24.78036
19.34072,24.13775
18.48478,30.15715
20.74767,32.17863
21.55348,32.13706
19.61221,29.11552
39.56956,29.90634
38.31706,28.17754
37.88727,26.79712
37.90376,26.54296
38.81233,28.01966
32.87254,14.46768
36.56061,24.43431
36.88199,24.86942
38.22275,25.15307
38.67749,24.48673
40.30166,31.49126
40.44943,31.45747
41.01399,29.28746
41.84568,29.17573
119.98656,13.84252
113.66269,27.15916
114.87788,24.16502
116.67851,26.35533
117.30182,24.98575
118.67446,26.64171
118.69427,24.74899
118.83989,26.83768
116.44526,15.72866
117.79389,14.19257
116.84724,8.83318
117.93738,9.03646
118.0709,9.70105
126.21557,9.22495
127.07542,25.78836
120.85157,15.14195
127.49734,25.48618
125.52474,8.30019
130.03642,9.13015
132.67529,9.34078
132.29068,8.89542
122.6413,7.02648
126.93783,7.66084
122.05744,6.80844
123.77849,6.92724
129.13843,5.17809
133.14064,13.84122
123.88615,9.23333
134.27267,9.11831
131.47532,12.24218
121.15465,5.35886
124.53461,24.50177
120.01256,25.729
121.45091,26.0152
121.88323,27.41157
122.37477,25.82985
123.42045,25.31967
123.92732,25.96537
124.67036,26.53551
125.78206,26.04633
125.83062,27.51028
126.40133,24.01721
127.09555,26.2867
127.91944,27.4195
128.55619,26.43005
129.72419,25.11786
132.10784,26.42464
133.43578,26.99667
134.79678,24.53629
120.02637,12.07793
120.1254,12.06351
123.01004,15.07853
127.15795,14.97333
132.11579,16.19214
134.03143,12.37228
134.30692,13.05591
120.30427,11.62353
120.71234,11.07354
124.20071,7.81914
128.15457,9.20884
120.04683,4.8539
125.92083,3.89734
131.59051,4.94578
120.56765,6.82614
131.5482,7.04961
137.77549,13.12161
144.44856,27.56604
146.65701,24.1313
137.22375,14.5839
148.24515,8.029
148.25826,7.78981
149.05291,15.61029
146.15466,10.01288
146.46036,8.90932
146.55588,8.9349
147.56293,9.73467
147.9158,11.30186
136.35552,10.54486
140.16156,10.26843
141.96695,10.69607
143.08601,10.09994
146.88082,10.49211
140.38295,11.34674
146.12603,11.27893
146.39952,12.57932
148.47286,12.51305
144.11168,9.60613
148.68965,9.60425
144.35871,8.68928
136.82368,6.4731
144.50274,6.92437
144.82642,6.088
136.30271,5.86786
139.73134,13.82013
140.42348,13.6158
145.75779,9.25259
136.23746,10.19113
136.93331,12.04996
137.34428,12.00868
139.43668,10.50436
146.0824,10.05907
145.71241,4.88945
140.36322,7.36464
147.96163,13.91053
148.21053,15.82627
149.52996,13.7803
145.05521,9.92448
149.11245,10.90556
135.9873,14.57767
139.23208,14.71384
139.88044,14.16081
141.615,15.82414
142.38738,14.79095
142.71613,13.78286
143.54766,13.91309
143.80043,13.12127
144.45628,12.97139
144.60308,12.54672
145.4945,15.31017
146.98472,14.40368
147.3119,15.80696
147.40875,14.77595
135.93186,25.3123
136.66071,27.54832
137.94012,27.65881
138.76658,27.53171
139.32105,26.45026
139.8166,25.60166
143.89053,27.05707
145.27558,8.92164
144.19321,9.04443
138.49793,9.67353
139.09579,10.59111
139.12865,9.17352
144.34798,4.09851
146.8867,3.98184
139.17276,6.43509
141.32462,7.04914
142.04694,7.54351
146.67658,7.1352
161.67351,13.00679
159.06873,27.53906
154.00015,6.80486
157.97522,12.92726
161.23954,11.91603
165.75797,8.04848
151.88818,13.10686
151.49435,23.86405
150.42761,11.55525
150.51771,12.36398
150.88817,16.02315
153.38426,8.59366
156.14773,8.51687
158.12908,14.65058
160.03671,9.27459
164.40092,8.14955
159.23649,13.93421
169.80994,11.95216
152.44352,12.0816
150.42722,10.6374
150.86142,10.46053
153.63408,10.97388
160.23777,10.62885
150.77821,12.34974
155.042,13.01458
159.01077,12.18842
162.95285,12.24242
155.50887,14.01043
156.21391,13.14587
160.61046,13.95714
154.82341,9.18394
161.18884,7.9988
150.19233,7.27122
157.79969,7.02547
158.22049,7.59833
158.66163,7.03159
163.08214,7.56093
153.41497,5.9971
155.05961,6.80261
150.75915,5.87059
151.46365,5.00629
153.10944,5.72202
159.44218,5.46723
154.05825,4.49964
155.00458,4.68985
156.66935,4.45452
164.36401,9.17441
158.50967,15.3707
150.66274,12.15673
160.35894,7.03775
150.0102,15.76849
150.48064,15.76007
151.66814,12.31678
151.85624,12.98633
156.05918,15.28533
159.694,12.98948
160.10362,11.99287
162.16252,11.90998
162.42815,13.82814
162.86817,12.43944
164.08133,14.86636
164.63365,13.93043
155.75164,14.79064
160.68221,10.16942
151.54497,7.2259
160.57698,8.98706
161.72069,28.03908
151.24552,8.78252
154.90441,10.0011
164.68288,5.39342
158.30313,5.9562
153.63825,8.46182
164.64654,7.74746
163.78628,9.82681
164.17069,9.41863
164.85616,8.60824
162.04435,26.16382
158.61911,5.63271
159.74195,3.87414
151.51956,7.13516
153.44814,6.89605
167.60511,10.12532
178.00801,13.87844
172.72263,14.14427
173.72131,11.02116
175.792,14.21802
171.80322,8.78807
169.85426,11.40813
173.70011,11.77121
166.98317,12.7926
169.27872,12.92535
176.16468,12.79064
177.14704,12.61447
170.5743,13.15758
172.25973,7.28776
174.92221,7.07503
170.63091,6.74184
168.59791,5.31794
173.50199,5.0735
178.52829,5.83371
165.4756,4.04642
166.67269,4.4446
169.1438,4.08032
169.41054,4.35991
169.55651,4.69182
177.23028,4.16504
171.82819,3.88945
175.94908,12.98087
179.45311,14.21039
173.95472,16.02408
176.40668,6.68618
176.12714,7.06042
176.96141,13.70423
176.18356,15.02778
177.00182,14.87262
178.08418,15.46006
179.65623,15.22559
176.01595,13.34672
166.34434,10.66475
167.26502,10.15661
169.32956,11.44881
165.85977,16.01617
166.13584,16.11079
166.64704,12.23
167.03704,13.08928
168.31753,15.4086
168.82672,12.89856
170.74638,12.46046
174.31712,12.50062
175.60467,8.01872
176.75555,8.70671
179.90498,8.87132
177.39373,6.95975
179.28003,6.6754
166.02358,5.04057
166.17493,5.35247
173.18602,8.4373
168.0737,4.61412
168.99991,4.87581
170.63065,5.52481
171.87056,5.61709
173.7854,5.43258
177.95507,5.53141
178.62226,5.0154
165.8723,5.85033
169.13145,7.30596
169.22029,7.03901
170.54448,7.30686
173.1459,7.29275
177.19601,7.25736
177.24988,7.53283
177.7763,7.39994
165.91108,7.32125
176.44416,26.1756
179.01711,9.41587
180.77312,13.47015
180.78182,12.42092
181.00137,11.84026
182.67015,14.64555
183.09464,6.97937
183.69705,13.0851
183.7664,13.0321
183.97414,14.0249
184.04915,8.37326
184.42152,8.81655
184.4702,5.02698
184.56122,11.48102
184.56096,10.35398
184.71377,12.59837
184.79698,12.88354
184.80768,5.9865
184.85784,13.3109
185.36322,15.02091
185.53104,15.7998
185.66059,6.01433
185.78085,13.74445
185.81717,7.68746
186.04192,9.23571
186.50556,8.1935
186.61133,6.7084
186.74648,14.78235
186.82343,7.66938
186.87565,9.3395
188.2401,4.57815
188.29026,9.25326
188.37158,3.79377
188.75399,9.18608
189.56585,14.87296
190.57751,5.73942
190.68692,7.33883
190.78124,7.65456
193.09489,13.10331
193.24616,14.40052
187.23124,8.81685
184.14079,6.83525
186.73514,12.96151
186.18876,13.34046
192.77828,12.05984
183.46073,5.35458
193.29862,12.63441
183.24468,14.10894
183.72991,13.2003
184.35534,13.43724
184.57467,4.40217
185.06079,12.86523
185.12797,13.5192
185.34269,6.39329
185.35348,9.62026
186.10671,7.13113
187.56674,13.30754
187.85529,4.02001
187.97431,5.17287
188.50615,5.95322
189.67788,6.66864
192.08682,8.04122
192.10241,9.31678
183.63732,12.10324
190.84498,5.76535
192.35719,4.39254
181.09783,10.01686
185.50059,10.18049
180.13234,9.53402
181.95921,9.21015
184.5661,11.22688
186.92463,9.60794
186.81942,9.92111
181.98415,11.19806
193.35604,14.64191
180.77222,7.81421
180.57627,6.04381
183.19476,4.6584
191.12031,4.17224
193.89643,10.739
185.54534,11.9383
191.24142,12.03029
194.01306,12.13294
180.85954,13.45952
188.10251,11.24755
182.17285,13.90003
181.86312,14.24294
182.0862,12.50109
185.57606,15.7998
186.19497,15.07361
187.31369,14.49685
190.3705,14.84504
193.06498,4.4574
183.44644,11.49288
185.30514,10.62557
188.10284,10.48475
188.8212,8.15539
190.314,10.78741
192.51852,9.58075
184.0293,14.21044
186.97424,6.66788
188.40901,6.82538
181.68948,24.60762
192.39042,9.10313
183.62637,10.36472
190.54495,11.44858
186.21218,7.89894
188.38843,6.04977
191.08697,6.08961
192.3911,7.80693
193.22468,9.59419
185.73304,6.15524
186.40433,5.34052
186.56166,5.4369
194.01467,4.86744
194.32557,4.99131
193.16572,27.59014
193.85217,26.86018
184.70721,11.35902
188.87114,8.70176
194.27903,8.14531
184.56452,25.56819
196.59608,10.43397
208.63898,4.24435
196.14238,26.77385
209.44089,7.83735
204.1826,8.54688
198.30308,24.35268
208.40535,8.35327
207.16838,5.57626
196.87962,12.35803
198.15691,11.81209
201.88988,11.73017
202.97697,11.80657
197.27768,5.24366
198.02612,5.18326
199.10112,4.74175
199.48485,4.52176
200.91798,4.51469
202.26247,4.84402
203.26802,4.44571
202.19674,10.96105
208.24595,5.11862
209.42122,15.37306
195.09217,12.92369
209.13782,8.60923
204.71155,8.10808
195.41823,14.93451
197.07182,11.80646
197.08377,14.62325
197.74374,13.80722
197.85706,15.53053
198.1337,12.95598
199.58255,13.90153
200.19914,13.63452
200.6858,14.08004
200.91141,12.00993
202.05644,16.08913
202.38753,14.94761
202.82675,16.16665
204.79956,15.4408
204.8869,15.22327
205.67283,15.60839
206.81663,13.17717
206.81837,13.29797
206.88543,14.26612
207.44841,15.956
207.7633,13.98255
207.88548,14.24765
208.66083,13.8644
209.01094,14.51967
209.88494,12.82475
196.1421,10.52856
195.0094,9.03799
198.64719,9.22377
203.31084,10.28414
204.5042,10.24047
205.46768,9.12075
203.497,8.28668
205.85252,7.91327
206.79823,8.00242
195.35435,4.46948
203.17507,27.65051
203.07873,10.45479
205.1689,7.89308
208.07609,6.91979
208.2085,7.25671
208.47555,9.50461
208.59615,8.93239
208.6674,9.2524
208.9916,8.99545
207.76003,8.27575
195.47313,5.38651
197.25792,5.633
199.372,4.0597
200.17628,4.42387
201.32326,5.5432
201.65409,5.74355
201.70907,4.67582
201.78335,5.40784
202.9844,6.03476
203.43309,5.87683
205.4038,4.84601
206.04389,4.14716
206.3194,5.61793
207.64504,4.25404
197.05175,6.41529
198.2682,6.28533
200.01084,7.22241
200.37868,6.60138
200.9916,7.18272
201.17046,5.86521
205.86019,7.9756
206.27715,6.51957
195.71187,26.54601
198.91371,25.98554
200.55986,26.87939
200.87521,27.71796
201.28578,27.17563
201.80611,26.52033
203.83721,26.90786
204.0504,27.85439
204.30173,26.08891
204.82897,26.41216
206.29044,27.33641
208.57317,26.48096
209.88108,26.17207
201.58346,26.59366
201.05822,25.37003
219.1706,11.57688
218.13013,11.55259
214.2843,13.68493
221.60328,14.21072
218.84708,9.50141
219.19986,27.63663
217.76628,26.45169
221.38698,25.68494
219.9947,24.35142
221.64052,25.70261
223.11804,10.19306
223.43562,15.83487
210.13711,8.99492
210.80788,9.75119
219.40334,13.31848
221.1223,5.17625
211.41689,13.37499
220.87167,4.53164
213.20647,3.81277
210.19666,9.56035
213.68167,10.07468
210.53382,11.1174
211.13667,11.18979
211.86084,11.43127
210.02085,9.31149
210.75274,9.04952
210.21499,14.6936
211.29417,8.08279
212.85794,14.13162
213.01326,5.85838
213.34116,13.76027
213.42882,13.98712
214.5749,6.97122
214.72765,13.8145
215.85915,12.96785
216.44811,12.22855
217.31245,5.98538
217.31756,11.4634
217.41839,10.87962
217.43559,10.65736
218.40493,11.2173
218.78372,13.14914
220.8007,12.19486
220.81717,10.36612
221.11538,12.50227
221.61737,12.11401
221.62706,12.47215
222.05125,11.81747
215.3404,25.06162
210.82576,15.2322
211.36292,15.37636
211.46347,14.64715
212.09336,12.59336
212.30004,13.31479
213.19188,12.66326
213.25433,12.39571
213.63545,13.25448
224.53865,14.42467
214.05315,13.45494
214.11633,12.94728
215.66387,14.36291
215.91115,14.4245
216.47744,12.91896
216.48669,13.12445
221.55346,13.79769
216.57241,15.68605
221.74813,13.16973
221.78764,15.09647
217.52262,15.65952
218.08875,14.6248
219.55178,14.93711
219.75255,13.34872
220.52738,12.49287
220.95827,15.33032
212.5984,13.71283
219.27024,15.76446
210.55416,8.08684
210.57314,9.56483
210.73749,7.09242
210.74068,10.62061
211.65765,6.14931
211.77663,8.98952
211.82131,6.56984
212.63545,8.59497
212.81811,9.2258
216.35741,11.5297
218.03451,8.16917
218.4851,10.79481
220.67312,8.84703
220.75512,9.21106
221.7106,9.93887
222.6378,8.36993
215.18922,4.17138
222.05077,5.80336
223.18083,4.60464
223.62983,4.93787
220.30919,6.20159
221.36215,7.628
223.07836,7.09122
222.56362,24.29029
227.79295,11.03241
232.77603,3.8309
230.98809,24.21634
239.15351,6.19406
237.71789,11.21654
233.05409,12.02259
233.49522,12.06405
233.00618,15.62185
239.29673,8.97117
227.88903,14.93242
228.94115,15.90173
229.41229,12.93063
231.60997,14.40849
231.93826,12.96789
233.64448,16.00829
233.78289,12.33706
233.92416,13.21771
236.36144,16.22223
236.73321,13.45882
236.77956,13.66522
237.01605,15.2431
237.33489,11.88814
237.8228,15.87327
238.70545,15.93742
238.74185,14.26759
239.37617,14.25094
230.52651,14.03985
238.78959,14.50762
225.8954,9.25464
225.89615,11.64786
226.18659,8.19139
226.8298,8.58533
227.7646,11.11906
229.3544,8.06999
229.40186,8.64879
230.77072,11.76489
231.45549,8.61153
232.04163,10.44681
232.68659,8.65824
234.95254,8.4465
235.7684,11.74357
236.47372,8.51184
236.94027,9.97731
237.36655,10.79084
237.89588,8.03125
237.89714,8.01464
237.28398,10.5093
225.41613,5.44813
226.89541,5.01208
228.18819,6.16422
228.73893,6.10177
229.11776,6.15978
230.46179,4.54913
232.63898,5.14591
234.03602,5.79315
235.48797,4.57914
237.46055,4.30728
239.15573,5.96865
227.64371,6.03194
228.066,6.44235
231.27649,7.09795
232.59058,7.82956
233.71724,7.26187
234.99238,7.54569
236.26553,7.18172
226.8852,8.154
242.90967,24.13669
244.18569,16.08548
244.43804,15.70343
241.86566,10.13888
240.04801,27.91725
241.68158,28.19462
242.90368,24.27561
243.62984,27.24112
243.63168,27.66239
243.73637,24.74135
243.97217,26.45042
244.29293,25.1665
244.84838,25.66946
247.16784,27.72774
247.58894,26.77424
249.55552,24.12627
240.33475,14.13574
240.97163,14.51054
242.0068,13.58351
242.51227,13.16372
242.51455,13.0957
243.17539,13.1427
245.00156,11.6967
245.16616,14.58755
245.64331,11.90506
245.94499,11.7398
246.88416,13.58418
247.8143,11.53199
246.57403,14.65561
241.97355,9.11771
243.25266,10.29802
245.22323,10.56378
245.88538,9.87275
242.93434,4.25935
243.08486,6.5434
244.8801,6.93403
247.69277,6.74918
344.33962,27.98176
343.95522,14.75414
343.06481,24.10249
341.93366,23.99931
344.81348,24.7102
340.3592,31.52996
341.93243,32.18793
342.57115,30.25231
342.01319,29.82986
341.93986,28.90746
343.34784,29.01461
359.93908,27.25419
359.62475,30.6717
346.94069,14.37621
351.17715,13.8099
352.79556,15.03284
354.03595,15.74396
357.84919,14.23395
358.26493,14.58524
359.18295,15.46008
359.6835,16.09062
346.28876,25.8743
359.85088,26.54802
347.66239,24.14467
359.63733,31.12983
215.84073,10.98673
224.33409,8.50382
226.09353,10.043
146.0379,5.93687
235.7035,7.76446
240.45151,6.83849
243.10463,6.12566
176.6516,23.95457
141.15892,25.39799
141.22014,25.63433
142.65361,24.0483
147.39757,25.81196
152.29079,27.5974
152.70491,27.33868
152.81756,24.06564
156.14371,27.85422
160.11555,24.78032
165.58932,25.66283
166.4387,28.12222
168.19867,25.91812
171.53359,27.90999
173.73942,25.94573
177.4858,26.35044
178.12222,27.25079
179.35019,27.34776
187.99436,27.83389
200.71605,27.39362
201.43499,26.91239
205.47152,25.75361
206.46212,26.79652
211.2479,28.03167
211.31068,27.9878
214.21762,26.24611
217.558,26.55624
228.26122,24.7653
235.7212,24.43696
139.45923,24.46296
144.73484,26.4736
148.53879,28.10487
153.88641,24.72377
155.01925,24.2979
158.11349,25.7389
159.89203,27.05066
166.78211,28.05656
166.89093,26.83268
167.87288,24.061
171.0992,27.67272
171.25579,24.25328
171.4247,27.74304
171.66095,24.2994
172.12928,24.53587
172.50329,25.65446
172.59808,24.29263
174.20211,24.72044
176.19241,25.48049
176.77782,27.41819
177.65414,24.92578
178.75476,25.46076
179.46679,25.04837
179.68915,26.90058
180.08959,24.75893
180.12189,25.69493
181.80615,27.06668
184.07696,26.76539
184.87519,25.74255
185.32606,24.71268
185.7267,27.99856
186.53409,25.57081
186.58143,27.50423
186.59202,24.28133
187.05314,25.08954
187.10213,26.78366
188.81177,24.54876
189.16916,27.1476
189.31393,27.53323
190.88552,27.29753
190.96849,25.29132
191.43019,24.66355
192.20363,24.99924
195.98808,26.72948
196.30339,24.94361
197.34333,24.09242
199.5316,24.74236
200.41215,26.7395
202.41307,25.79754
202.88993,25.62709
203.32362,26.17922
204.26507,27.23865
204.84739,26.99459
208.73942,25.0407
209.66836,27.7101
211.46526,25.2603
212.76912,25.55968
216.38424,25.7167
216.52541,27.24436
216.71393,27.68911
217.95723,27.89177
218.33342,25.05024
219.97253,25.96922
222.04205,25.83623
222.56328,27.43203
222.6291,24.94011
223.35604,27.61986
223.89548,25.52108
225.43804,26.00395
227.3276,25.90528
227.68854,26.03157
228.47397,25.53317
229.97522,26.29439
232.31533,24.74233
234.87706,24.43746
236.60921,24.2566
238.18578,24.25668
206.57265,9.21695
171.25984,23.84643
183.79863,23.98558
188.42205,23.98728
189.35267,23.86405
207.82565,23.95024
326.1969,15.40777
339.90663,13.96617
343.0186,15.2057
343.78061,14.80059
345.76306,14.17105
346.21644,14.01846
347.31883,14.36594
349.76621,16.02271
350.88215,13.83792
350.93141,14.42791
350.94936,14.94724
351.04491,15.88632
351.55928,15.07866
351.86878,14.81352
0.79574,15.04452
1.64283,15.51084
1.966,15.7551
5.77489,15.13928
6.04052,15.99388
6.27733,14.36832
9.86823,14.61795
10.23372,14.23564
12.25385,14.05148
16.14961,15.27246
21.76126,14.66057
21.98584,14.50203
22.13742,15.24828
24.35586,14.66316
165.17733,26.68322
166.73849,26.90869
168.81081,28.10002
169.05832,27.18058
171.7507,27.17312
172.7242,26.07715
178.31846,25.98322
178.32421,28.03679
183.35166,27.21348
187.37052,27.61439
190.00777,26.32118
190.5016,27.73607
190.84677,27.72202
190.91772,27.29456
191.15605,27.96591
118.18019,27.03446
119.451,26.93074
121.0086,26.30587
121.75532,26.27644
122.28288,26.48109
123.22956,26.09485
128.78398,26.88201
130.09466,27.22144
130.80645,27.86993
137.70316,27.66674
138.55918,28.09748
143.52201,26.02657
144.29607,27.04213
149.13856,27.28148
149.38372,25.93946
152.41263,27.76255
155.43798,26.90091
157.53955,27.38851
159.46979,27.96619
162.36799,26.01533
163.07637,27.38723
163.24741,26.47292
212.99226,27.49324
213.3715,27.08107
216.76224,27.90478
217.15516,27.1281
219.44662,28.03669
226.99069,25.82529
227.84553,26.8299
231.86175,26.54168
234.79765,26.02471
240.4353,26.78405
241.22863,27.20432
241.67304,25.95603
243.09382,27.67457
243.19913,26.13163
245.8189,25.84601
248.10176,25.80036
119.53715,25.83067
120.39809,25.52356
120.62364,24.23584
123.00112,24.63963
128.2971,24.57195
129.34207,25.38651
136.48538,25.35081
136.87971,25.17228
141.41325,24.07941
142.22408,24.06015
142.24878,25.04899
151.18092,24.59198
158.60775,24.07473
158.84573,25.18977
164.59287,25.17589
165.16082,23.83538
165.38126,25.55566
166.66342,24.03351
166.82445,23.8685
168.81906,25.5387
169.34035,25.44963
170.79914,24.68747
171.28244,25.58288
171.34967,23.91805
173.21223,24.51628
173.41429,24.58713
175.28794,24.75146
177.84632,25.7085
179.40966,25.69639
179.52343,24.89928
180.81259,24.23078
182.33345,24.4471
182.41045,25.12883
202.23551,25.43763
214.7233,24.78212
215.99409,24.67549
219.03118,23.99951
219.84779,24.66979
220.01546,24.64222
220.94069,25.71965
221.33388,25.69746
221.79378,25.41036
225.88677,24.72182
227.63955,24.54309
228.40843,24.24993
239.24141,25.13451
240.75094,25.41985
244.91465,25.56263
244.95822,25.77177
247.68273,23.98818
